assembly	16S_rRNA_Count
S_S2_Bd_066_v1v9_Bifidobacterium_dentium	4
S_S2_Blss_067_v1v9_Bifidobacterium_longum	4
S_S2_Bs_063_v1v9_Bacillus_subtilis	10
S_S2_Bv_065_v1v9_Phocaeicola_vulgatus	7
S_S2_Ca_088_v1v9_Collinsella_sp902472315	5
S_S2_Cc_069_v1v9_Alitiscatomonas_sp900066535	6
S_S2_Cc_070_v1v9_Enterocloster_clostridioformis	5
S_S2_Cs_071_v1v9_Otoolea_symbiosa	4
S_S2_Ea_076_v1v9_Enterococcus_A_avium	6
S_S2_Ea_077_v1v9_Enterococcus_A_avium	6
S_S2_Ef_078_v1v9_Escherichia_coli	7
S_S2_El_072_v1v9_Eggerthella_lenta	3
S_S2_El_073_v1v9_Eggerthella_lenta	3
S_S2_Et_074_v1v9_Eisenbergiella_tayi	4
S_S2_Et_075_v1v9_Eisenbergiella_tayi	4
S_S2_Fp_079_v1v9_Faecalibacterium_longum	6
S_S2_Fp_080_v1v9_Flavonifractor_plautii	3
S_S2_He_082_v1v9_Hungatella_effluvii	4
S_S2_Hf_081_v1v9_Holdemania_filiformis	4
S_S2_Pd_083_v1v9_Parabacteroides_distasonis	7
S_S2_Rf_084_v1v9_Hungatella_effluvii	4
S_S2_Rf_118_v1v9_Roseburia_C_amylophila	4
S_S2_Rg_085_v1v9_Ruminococcus_B_gnavus	5
S_S2_Shsn_087_v1v9_Staphylococcus_hominis	6
S_S2_Af_119_Alistipes_finegoldii	2
S_S2_Am_061_Akkermansia_muciniphila	3
S_S2_Bd_064_Phocaeicola_dorei	7
S_S2_Bd_066_Bifidobacterium_dentium	4
S_S2_Blss_067_Bifidobacterium_longum	4
S_S2_Bs_063_Bacillus_subtilis	10
S_S2_Bv_065_Phocaeicola_vulgatus	7
S_S2_Ca_088_Collinsella_sp902472315	5
S_S2_Cb_068_Enterocloster_bolteae	5
S_S2_Cc_069_Alitiscatomonas_sp900066535	6
S_S2_Cc_070_Enterocloster_clostridioformis	5
S_S2_Cs_071_Otoolea_symbiosa	4
S_S2_Ea_076_Enterococcus_A_avium	6
S_S2_Ef_078_Escherichia_coli	7
S_S2_El_072_Eggerthella_lenta	3
S_S2_Et_074_Eisenbergiella_tayi	4
S_S2_Et_075_Eisenbergiella_tayi	4
S_S2_Fp_079_Faecalibacterium_longum	6
S_S2_Fp_080_Flavonifractor_plautii	3
S_S2_Hf_081_Holdemania_filiformis	4
S_S2_Pd_083_Parabacteroides_distasonis	7
S_S2_Rf_084_Hungatella_effluvii	4
S_S2_Rf_118_Roseburia_C_amylophila	4
S_S2_Rg_085_Ruminococcus_B_gnavus	5
S_S2_Shsn_087_Staphylococcus_hominis	6
S_S5_Af_090_v1v9_Alistipes_finegoldii	2
S_S5_Am_089_v1v9_Akkermansia_muciniphila	3
S_S5_Blss_094_v1v9_Bifidobacterium_longum	4
S_S5_Bp_095_v1v9_Bifidobacterium_pseudocatenulatum	5
S_S5_Bv_093_v1v9_Phocaeicola_vulgatus	7
S_S5_Cb_096_v1v9_Enterocloster_bolteae	5
S_S5_Cc_097_v1v9_Enterocloster_citroniae	5
S_S5_Cc_098_v1v9_Enterocloster_clostridioformis	5
S_S5_Dg_099_v1v9_Enterocloster_alcoholdehydrogenati	5
S_S5_Ea_103_v1v9_Enterococcus_A_avium	6
S_S5_Ef_104_v1v9_Escherichia_coli	7
S_S5_El_100_v1v9_Eggerthella_lenta	3
S_S5_Em_101_v1v9_Eisenbergiella_porci	4
S_S5_Et_102_v1v9_Eisenbergiella_tayi	4
S_S5_Fp_105_v1v9_Faecalibacterium_longum	6
S_S5_Fp_106_v1v9_Flavonifractor_plautii	3
S_S5_He_108_v1v9_Hungatella_effluvii	4
S_S5_Hf_107_v1v9_Holdemania_filiformis	4
S_S5_Lp_109_v1v9_CHH4-2_sp018378255	6
S_S5_Pd_110_v1v9_Parabacteroides_distasonis	7
S_S5_Pd_111_v1v9_Parabacteroides_distasonis	7
S_S5_Rf_112_v1v9_Agathobacter_faecis	4
S_S5_Rg_113_v1v9_Ruminococcus_B_gnavus	5
S_S5_Sc_120_v1v9_Staphylococcus_epidermidis	6
S_S5_Af_090_Alistipes_finegoldii	2
S_S5_Am_089_Akkermansia_muciniphila	3
S_S5_Bg_092	12
S_S5_Blss_094_Bifidobacterium_longum	4
S_S5_Bp_095_Bifidobacterium_pseudocatenulatum	5
S_S5_Bv_093_Phocaeicola_vulgatus	7
S_S5_Cb_096_Enterocloster_bolteae	5
S_S5_Cc_097_Enterocloster_citroniae	5
S_S5_Cc_098_Enterocloster_clostridioformis	5
S_S5_Dg_099_Enterocloster_alcoholdehydrogenati	5
S_S5_Ea_103_Enterococcus_A_avium	6
S_S5_Ef_104_Escherichia_coli	7
S_S5_Em_101_Eisenbergiella_porci	4
S_S5_Et_102_Eisenbergiella_tayi	4
S_S5_Fp_105_Faecalibacterium_longum	6
S_S5_Fp_106_Flavonifractor_plautii	3
S_S5_He_108_Hungatella_effluvii	4
S_S5_Hf_107_Holdemania_filiformis	4
S_S5_Lp_109_CHH4-2_sp018378255	6
S_S5_Pd_110_Parabacteroides_distasonis	7
S_S5_Pd_111_Parabacteroides_distasonis	7
S_S5_Rf_112_Agathobacter_faecis	4
S_S5_Rg_113_Ruminococcus_B_gnavus	5
S_S5_Sc_120_Staphylococcus_epidermidis	6
