"","Plate3_016R_0_F_NS6_week5_S1_L001","Plate4_016R_R_F_NS6_week5_S1_L001","Plate4_1075R_0_M_NS6_week5_S2_L001","Plate4_1075R_RL_M_NS6_week5_S3_L001","Plate4_1184R_0_M_NS6_week5_S4_L001","Plate4_1186R_0_M_NS6_week5_S5_L001","Plate4_1186R_RR_M_NS6_week5_S6_L001","Plate4_184R_0_M_NS6_week5_S7_L001","Plate4_2403R_0_F_NS6_week5_S8_L001","Plate4_2476R_R_F_NS6_week5_S9_L001","Plate4_2562R_0_F_NS6_week5_S10_L001","Plate4_2562R_RL_F_NS6_week5_S11_L001","Plate1_1075R_0_M_NS6_week9_S72_L001","Plate2_016R_0_F_NS6_week9_S79_L001","Plate2_1075R_L_M_NS6_week9_S84_L001","Plate2_1184R_0_M_NS6_week9_S85_L001","Plate2_1186R_0_M_NS6_week9_S86_L001","Plate2_1186R_RR_M_NS6_week9_S87_L001","Plate2_184R_0_M_NS6_week9_S88_L001","Plate2_2403R_0_F_NS6_week9_S80_L001","Plate2_2476R_R_F_NS6_week9_S81_L001","Plate2_2562R_0_F_NS6_week9_S82_L001","Plate2_2562R_RL_F_NS6_week9_S83_L001","Plate3_016R_R_F_NS6_Pellet_week9_S2_L001","Plate3_1075R_RL_M_NS6_Pellet_week9_S3_L001","Plate1_1002R_0_M_NS6_week10_S69_L001","Plate1_1002R_L_M_NS6_week10_S70_L001","Plate1_184R_0_F_NS6_week10_S65_L001","Plate1_184R_L_F_NS6_week10_S66_L001","Plate1_2403R_L_F_NS6_week10_S67_L001","Plate1_2506R_0_F_NS6_week10_S68_L001","Plate1_3894R_0_M_NS6_week10_S71_L001"
"Parabacteroides_distasonis",656,2155,3016,3490,3306,1439,1587,1488,1580,2706,3110,4215,4046,3543,2986,4410,3661,4499,4926,3083,2095,1936,2992,702,979,3018,2550,2288,2925,2911,1918,4117
"Enterocloster_bolteae/clostridioformis",1067,190,130,162,86,564,552,100,144,71,150,112,1525,3996,621,354,2142,1890,3979,2013,425,825,607,1269,852,1271,501,657,680,3257,896,656
"Phocaeicola_NA",1160,609,1059,975,621,550,890,563,908,973,942,735,1019,1000,952,983,1490,1315,1526,687,502,1116,1254,845,606,1456,681,799,1044,958,496,1291
"Alistipes_finegoldii",177,106,283,294,204,129,164,267,140,356,355,249,324,936,371,712,591,786,787,478,1024,688,539,548,301,585,574,679,609,760,433,617
"Sarcina_perfringens",0,315,2448,1043,815,3065,2167,2920,26,143,3504,172,2229,354,224,548,871,574,373,12410,6161,5446,408,709,87,1346,1891,2467,126,103,10669,116
"Eisenbergiella_porci",1379,2037,4469,3402,3541,776,1150,2758,1460,3950,4641,4690,6796,2443,3453,4754,1495,1393,8035,1120,530,1633,2883,2348,3847,1052,599,2753,4596,691,1006,7121
"Sutterella_wadsworthensis",529,277,137,378,266,134,93,283,329,560,311,392,447,421,418,736,442,389,769,495,583,363,578,343,155,896,570,684,893,784,240,428
"Flavonifractor_plautii",186,275,170,246,121,228,483,212,138,79,153,220,610,175,438,578,68,78,51,569,350,471,451,481,559,420,270,147,539,561,289,382
"Enterococcus_faecalis",296,213,117,117,75,98,113,49,58,113,79,37,19,13,8,23,11,17,34,16,21,24,0,14,13,62,38,11,0,13,121,24
"Enterococcus_A_avium",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterocloster_sp005845215",1236,869,1367,1386,1942,574,423,1143,933,1517,1735,1533,2092,1009,1449,1979,2017,1716,1415,392,928,1054,1044,671,1404,1115,1857,764,1806,399,633,1992
"Agathobacter_faecis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_onderdonkii",15,18,39,41,26,28,37,50,0,43,38,38,107,117,75,86,70,53,45,59,92,89,57,85,77,73,118,84,82,108,69,81
"Bifidobacterium_longum",83,74,176,139,189,23,13,118,32,32,135,85,62,19,32,21,31,29,37,29,37,37,51,42,44,116,97,71,61,58,100,64
"Eggerthella_lenta",0,0,0,17,0,18,21,21,0,8,21,0,39,0,31,34,0,48,0,32,25,23,0,0,32,66,46,0,41,41,43,60
"Collinsella_sp902362275/sp902472315",65,49,60,47,0,55,33,50,40,31,76,44,110,0,35,54,62,50,63,0,36,68,36,87,56,119,104,90,81,122,99,117
"Hungatella_hathewayi",0,0,85,250,202,368,0,0,0,160,46,493,0,0,0,0,1386,49,3457,0,0,607,1173,0,0,0,0,0,3219,0,0,0
"Alistipes_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Bacteroides_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_NA",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_adolescentis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
